"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"3825","Marzipan @ The Bohemian House","Cafe","4.2","49","700","Yes","No","Cafe","3825","Basavanagudi","Richmond Road"
"3826","Marzipan Cafe & Bakery","Cafe, Bakery","4.2","430","700","Yes","No","Cafe, Mediterranean, Bakery, Greek","3826","Indiranagar","Ulsoor"
"3827","Masala Central","Quick Bites","3.7","74","300","Yes","No","North Indian","3827","Brigade Road","Frazer Town"
"3828","Masala Chai","Beverage Shop, Quick Bites","4.1","191","250","Yes","No","Beverages, Fast Food, Tea","3828","Brookefield","Whitefield"
"3829","Masala Dani - The Paul","Casual Dining","3.7","56","1800","No","No","Mughlai, North Indian","3829","Indiranagar","Domlur"
"3830","Masala Kitchen","Casual Dining","3","4","700","No","No","North Indian","3830","Lavelle Road","Brigade Road"
"3831","Masala Klub - The Taj West End","Fine Dining","4.4","309","4000","No","Yes","North Indian, South Indian","3831","Church Street","Race Course Road"
"3832","Masala Oota","Quick Bites","3.6","79","500","Yes","No","South Indian, Biryani","3832","Brigade Road","Residency Road"
"3833","Masala Secret Eat WOW","Quick Bites","3.6","14","300","Yes","No","Street Food, Fast Food, Chinese, Momos","3833","HSR","HSR"
"3834","Masale Daan","Delivery","3.1","4","350","Yes","No","North Indian","3834","Banashankari","Banashankari"
"3835","Mast Biryani - Fresh Indian Kitchen","Casual Dining","3.5","254","500","No","No","Biryani, North Indian, Mughlai, Fast Food","3835","Marathahalli","Marathahalli"
"3836","Mast Biryani - Night Express","Delivery","3.5","17","500","No","No","North Indian, Biryani, Fast Food","3836","Marathahalli","East Bangalore"
"3837","Mast Kalandar","Casual Dining","2.1","337","450","No","No","North Indian","3837","Bellandur","Bellandur"
"3838","Mast Punjabi","Quick Bites","2.6","231","400","Yes","No","North Indian, Chinese, Rolls, Biryani, Kebab","3838","Banashankari","Kumaraswamy Layout"
"3839","Mast Punjabi Spice","Takeaway, Delivery","2.9","34","400","Yes","No","North Indian","3839","Electronic City","Electronic City"
"3840","Master Brothers","Bakery","3.3","7","450","Yes","No","Desserts, Bakery","3840","Brookefield","Whitefield"
"3841","Master Chifoo","Casual Dining","3.9","55","800","Yes","No","Chinese, Thai, Momos","3841","Brookefield","Marathahalli"
"3842","Masti Masala","Quick Bites","4","397","450","Yes","No","North Indian","3842","Malleshwaram","Rajajinagar"
"3843","Mathsya Darshini","Quick Bites","3.2","57","350","No","No","Seafood, Mangalorean","3843","Brigade Road","Lavelle Road"
"3844","Matinee Bar & Kitchen","Casual Dining","4.2","340","1700","Yes","Yes","BBQ, Continental, North Indian, Pizza, European","3844","Bellandur","Marathahalli"
"3845","Matka","Casual Dining","3.5","27","700","Yes","Yes","North Indian, Biryani","3845","HSR","HSR"
"3846","Matka House","Quick Bites","3.9","391","450","Yes","No","North Indian, Chinese, Continental, Biryani","3846","Marathahalli","Kaggadasapura"
"3847","Matru Sagar","Quick Bites","3.6","84","250","Yes","No","South Indian, North Indian, Chinese","3847","Banashankari","Banashankari"
"3848","Matsuri - The Chancery Hotel","Casual Dining, Bar","4.4","183","1800","No","Yes","Japanese","3848","Brigade Road","Lavelle Road"
